#sslii，yrycu，chs，hig1，mwos2五行，有兩個字擠在一行
#蒼頡六代內碼表，實際共71320行
日 a
昌 aa
晶 aaa
𣊭 aaaa
𣊫 aaaa
曑 aaah
曡 aaam
曐 aaam
㬪 aaam
#由上至下：晶冖夕一 aaam
曟 aaav
晿 aaa
#⿳昍冖林 aabdd
㬈 aabt
覸 aabuu
𣈁 aad
焸 aaf
𭧌 aafu
暒 aahm
㫀 aahml
𣈲 aahu
#⿰日⿱曰儿 aahu
𪂇 aahz
暥 aajv
#⿱昍安 aajv
㫜 aam
𤦉 aamg
#⿱昍玉 aamgi
暘 aamh
𣈜 aami
晘 aamj
𣉆 aamo
㫯 aamu
𣊐 aamv
#⿳日曰一 aam
𣊺 aana
𣋆 aang
#⿰日閔 aank
𣣘 aano
𢛝 aap
晹 aaph
𣈀 aapp
暍 aapv
𣋁 aase
曝 aate
𣌈 aatr
㬤 aavf
暻 aayf
𣈫 aayt
𣌝 aayv
昍 aa
明 ab
𣋋 abaa
#⿱曰黽 abaa
暝 abac
曖 abbe
暧 abbe
𣊬 abbq
盟 abbt
覵 abbuu
𣉇 abcn
𣈄 abd
#⿰日郛 abdl
𣈃 abdu
焽 abf
#⿱曰縣 abff
𣇧 abf
𭎮 abg
𣉁 abgb
晭 abgr
㿢 abha
㬙 abhf
䳟 abhz
#⿳曰冖𭆙 abie
猒 abik
𡒦 abikg
曌 abjcm
暈 abjj
暉 abjj
㬗 abkf
晕 abkq
晖 abkq
暖 abme
㬊 abme
琞 abmgi
𣅧 abmm
#⿱明示 abmmf
晍 abmr
勗 abms
#左日，右由上至下爫干止，干止相連 abmx
暩 abof
暚 abou
𢜏 abp
晭 abqr
𦑉 abss
昷 abt
𨞚 abtnl
𨜵 abtnl
冒 abu
𣇜 abuc
𣌗 abue
㬬 abug
𪃑 abuhz
勖 abuks
晛 abuu
㒻 abuu
㪞 abuye
㬭 abwi
𭧏 abx
冐 ab
#⿳日八寸 acdi
昖 aci
暡 acis
晜 acnh
&~acnh1; acnh1
㫟 acr
&~acru; acru
昐 acsh
㬝 acwa
杲 ad
&~ada; ada
&~adam; adam
晽 add
&~addf; addf
晰 adhl
时 adi
昩 adj
&~adk; adk
&~adl; adl
&~admm; admm
暐 admq
&~admz; admz
&~adnl; adnl
&~adonl; adonl
&~adr; adr
&~adw; adw
暕 adwf
&~adw1; adw1
&~adyj; adyj
&~ad1; ad1
&~ae; ae
㿺 aedhe
&~aeed; aeed
&~aeee; aeee
&~aeii; aeii
&~aemj; aemj
㬁 aeor
&~ae1; ae1
炅 af
&~afb; afb
曭 afbf
&~afbk; afbk
&~afbk1; afbk1
㫾 afbr
㫧 afd
暽 afdq
晱 aff
&~affo; affo
&~afh; afh
影 afhhh
&~afkt; afkt
颢 afmbo
晃 afmu
晄 afmu1
𩓺 afmz
㫠 afq
㷖 afshr
㒽 afsu
&~afsu1; afsu1
䯫 afyrb
炚 af1
圼 ag
&~agb; agb
曀 agbt
𣇾 agce
時 agdi
㫭 agdi1
晆 agg
&~aggg; aggg
&~aggg1; aggg1
曉 aggu
㫢 agi
&~agit; agit
&~agl; agl
&~agli; agli
&~aglk; aglk
&~agni; agni
&~agp; agp
&~agp1; agp1
暿 agrr
&~agsk; agsk
&~agwc; agwc
㫱 agz
㬨 agzz
&~agz1; agz1
&~ah; ah
&~aha; aha
&~ahad; ahad
&~ahae; ahae
&~ahae1; ahae1
&~ahag; ahag
&~ahah; ahah
暭 ahaj
暤 ahaj1
&~ahaj2; ahaj2
&~ahau; ahau
暤 ahaz
&~ahbk; ahbk
㫼 ahbn
晌 ahbr
晑 ahbr1
眉 ahbu
&~ahby; ahby
昄 ahe
&~ahej; ahej
昸 ahem
㫡 ahem1
&~aheq; aheq
昸 ahey
㫡 ahey1
&~ahfw; ahfw
&~ahg; ahg
晧 ahgr
&~ahhd; ahhd
&~ahhhh; ahhhh
&~ahhk; ahhk
&~ahhml; ahhml
䬗 ahhni
㦹 ahi
&~ahio; ahio
&~ahi1; ahi1
&~ahjd; ahjd
&~ahje; ahje
曛 ahjf
&~ahjg; ahjg
&~ahjm; ahjm
㬖 ahkr
&~ahlb; ahlb
&~ahmj; ahmj
昕 ahml
&~ahni; ahni
㫟 ahnr
暀 ahog
&~ahol; ahol
&~ahon; ahon
暰 ahoo
&~ahoo1; ahoo1
晷 ahor
&~ahp; ahp
&~ahpl; ahpl
&~ahq; ahq
&~ahqi; ahqi
星 ahqm
甠 ahqm1
昳 ahqo
晧 ahqr
㬖 ahrk
&~ahrn; ahrn
昈 ahs
&~ahse; ahse
曒 ahsk
㫹 ahsl
昇 aht
&~ahtu; ahtu
&~aht1; aht1
&~ahua; ahua
暞 ahud
鶥 ahuhz
㫝 ahui
曍 ahuj
昂 ahul
㫝 ahum
&~ahumz; ahumz
郿 ahunl
&~ahup; ahup
&~ahuz; ahuz
昴 ahvl
&~ahw; ahw
&~ahwi; ahwi
&~ahwj; ahwj
晷 ahyr
旷 ai
㫰 aiav
㬍 aibi
晙 aice
&~aici; aici
&~aidd; aidd
&~aidi; aidi
㬕 aifq
&~aig; aig
&~aih; aih
&~aihi; aihi
&~aihi1; aihi1
&~aihm; aihm
&~aihq; aihq
&~aihqu; aihqu
晟 aihs
晠 aihs1
&~aihs2; aihs2
鵖 aihz
昿 aii
晡 aijb
&~aije; aije
&~aik; aik
㬙 aikf
昽 aikp
&~aimi; aimi
&~aimu; aimu
&~aimun; aimun
既 aimvu
既 aimv1
䫀 aimz
&~aio; aio
&~aipf; aipf
&~air; air
㬃 airf
&~airm; airm
昈 ais
昹 aise
&~aise1; aise1
即 aisl
䳭 aislz
昪 ait
曠 aitc
&~aitc1; aitc1
&~aiu; aiu
&~aixp; aixp
&~aiyr; aiyr
早 aj
昁 ajb
&~ajbc; ajbc
㫲 ajbd
暔 ajbl
&~ajcm; ajcm
昧 ajd
&~ajdhe; ajdhe
&~ajdi; ajdi
&~ajfc; ajfc
&~ajhn; ajhn
&~ajhqu; ajhqu
&~aji; aji
&~ajid; ajid
&~ajig; ajig
&~ajir; ajir
&~ajiv; ajiv
&~ajjb; ajjb
&~ajjl; ajjl
&~ajjl1; ajjl1
曢 ajkf
&~ajkr; ajkr
&~ajlk; ajlk
㫸 ajlo
&~ajmf; ajmf
暄 ajmm
晥 ajmu
晼 ajnu
&~ajp; ajp
晓 ajpu
&~ajrz; ajrz
&~ajtm; ajtm
暁 ajtu
&~ajty; ajty
晏 ajv
鷃 ajvhz
䨃 ajvog
㫨 ajv1
暷 ajwi
&~ajyp; ajyp
&~ajz; ajz
旪 aj1
旲 ak
&~akc; akc
&~akce; akce
暸 akcf
&~akd; akd
&~akde; akde
&~akg; akg
&~akg1; akg1
晞 akkb
&~akld; akld
昦 akll
晻 aklu
晻 aklv
&~akm; akm
&~akmr; akmr
晇 akms
旯 akn
&~aknj; aknj
&~akoo; akoo
㦔 akp
㫑 aks
显 al
映 albk
&~albo; albo
&~albu; albu
&~ale; ale
堲 alg
㬣 algi
&~alhz; alhz
&~ali; ali
&~alk; alk
&~alkt; alkt
曊 allc
昲 alln
&~alm; alm
&~almt; almt
顕 almz
&~alnh; alnh
&~alo; alo
&~alr; alr
&~alrm; alrm
㫵 alsy
暃 alsy1
曗 altd
&~alto; alto
晁 aluo
晀 aluo1
㫣 alwu
㫣 alwv
㬘 alx
&~alyp; alyp
&~al1; al1
旦 am
晅 amam
鼂 amba
&~ambb; ambb
曧 ambi
㬉 ambk
&~ambl; ambl
曬 ambp
&~ambs; ambs
&~amc; amc
&~amcr; amcr
晒 amcw
旴 amd
㝵 amdi
晤 amdr
昄 ame
&~ame1; ame1
&~amfb; amfb
&~amfm; amfm
㬕 amfq
&~amfr; amfr
旺 amg
&~amgn; amgn
㬄 amgz
&~amhhz; amhhz
&~amhks; amhks
&~amhnl; amhnl
&~amhno; amhno
敭 amhok
&~amhye; amhye
鴠 amhz
戥 ami
㬐 amia
晊 amig
旱 amj
䳚 amjhz
&~amjk; amjk
&~amjnl; amjnl
&~amjog; amjog
&~amjok; amjok
㪋 amjye
旰 amj1
昊 amk
&~amknl; amknl
昮 amks
&~amks1; amks1
&~amk1; amk1
㫫 aml
㬐 amla
&~amlk; amlk
&~amln; amln
昙 ammi
&~amms; amms
&~ammu; ammu
晨 ammv
&~ammz; ammz
&~amnr; amnr
&~amnu; amnu
昃 amo
&~amoa; amoa
昺 amob
昞 amob1
鶗 amohz
㓳 amoln
題 amomz
&~amp; amp
&~amq; amq
㬏 amrb
&~amrm; amrm
&~amrr; amrr
鼌 amru
㫤 amse
&~amsf; amsf
昜 amsh
昻 amsl
&~amso; amso
&~amt; amt
曞 amtb
&~amtj; amtj
㫕 amu
&~amur; amur
朂 amus
&~amvg; amvg
鷐 amvhz
&~amvm; amvm
&~amvog; amvog
㬓 amwf
量 amwg
曋 amwj
&~amwm; amwm
&~amwv; amwv
&~amwv1; amwv1
昰 amx
晸 amxk
是 amyo
暊 amz
曘 amzb
&~amze; amze
曤 amzg
曇 amzi
㬡 amzi1
㬡 amzl
&~amzo; amzo
&~am1; am1
門 an
間 ana
閶 anaa
&~anab; anab
&~anabt; anabt
&~anae; anae
&~anahe; anahe
&~anaht; anaht
鷼 anahz
&~anai; anai
&~anaj; anaj
&~anajv; anajv
&~anak; anak
䦔 anam
&~anamh; anamh
&~anami; anami
闁 anan
&~anani; anani
䦪 anapv
闒 anass
晚 anau
冕 anau1
晩 anau2
䦘 anav
閺 anayk
閒 anb
閿 anbbe
&~anbbr; anbbr
闝 anbck
䦱 anbhf
鷳 anbhz
㬇 anbk
&~anbk1; anbk1
&~anbla; anbla
&~anbmc; anbmc
&~anbmr; anbmr
&~anbnd; anbnd
&~anbr; anbr
&~anbrf; anbrf
&~anbr1; anbr1
䦛 anbsd
&~anbse; anbse
閴 anbuc
闅 anbue
&~anbuf; anbuf
闃 anbuk
&~anbuu; anbuu
䦩 anbu1
&~anbx; anbx
&~anbxm; anbxm
䦦 anc
&~anci; anci
&~ancms; ancms
&~ancmt; ancmt
閱 ancru
閲 ancr1
&~ancsh; ancsh
&~ancsp; ancsp
閑 and
䦥 andd
閉 andh
鷴 andhz
䦑 andk
&~andl; andl
闈 andmq
䦨 andw
闌 andwf
㫗 and1
閖 ane
&~anea; anea
&~aneat; aneat
&~anee; anee
䦤 aneee
閯 anefh
䦢 anegi
闊 anehr
&~aneir; aneir
&~aneiv; aneiv
&~aneli; aneli
䦞 anemg
&~anewt; anewt
&~aneyr; aneyr
&~aneyv; aneyv
&~ane1; ane1
焛 anf
闛 anfbg
闣 anfbw
&~anfhu; anfhu
闂 anfsu
&~anf1; anf1
䦌 ang
&~angbt; angbt
䦙 angdi
閨 angg
&~anggu; anggu
&~anggy; anggy
闔 angit
&~angl; angl
&~angle; angle
䦖 angr
&~angrr; angrr
䦝 angz
閁 anh
闎 anhae
&~anhbo; anhbo
&~anhbs; anhbs
䦗 anhbt
䦭 anhda
&~anhdh; anhdh
&~anhdv; anhdv
昅 anhe
閣 anher
&~anhfw; anhfw
&~anhg; anhg
&~anhgr; anhgr
&~anhgu; anhgu
䦕 anhh
旸 anhh1
&~anhj; anhj
&~anhjf; anhjf
&~anhjg; anhjg
&~anhjp; anhjp
䦚 anhjr
&~anhkg; anhkg
&~anhkm; anhkm
&~anhkn; anhkn
闙 anhkr
&~anhku; anhku
&~anhml; anhml
&~anhn; anhn
闏 anhni
&~anhon; anhon
&~anhq; anhq
&~anhqi; anhqi
&~anhqo; anhqo
&~anhqr; anhqr
閐 anhqu
&~anhrf; anhrf
闙 anhrk
&~anhsh; anhsh
&~anhsx; anhsx
&~anht; anht
閽 anhua
&~anhub; anhub
闑 anhud
&~anhuk; anhuk
&~anhvf; anhvf
&~anhvl; anhvl
&~ani; ani
閬 aniav
&~anibi; anibi
&~anibp; anibp
&~anifu; anifu
&~anihq; anihq
&~anihu; anihu
&~anii; anii
&~anijb; anijb
䦱 anikf
&~aniku; aniku
&~anil; anil
&~anilr; anilr
&~anin; anin
&~anin1; anin1
&~aniok; aniok
曻 aniq
㫥 anir
闙 anirk
閾 anirm
&~anir1; anir1
閞 anit
&~aniwg; aniwg
&~anixf; anixf
&~ani1; ani1
閙 anjb
闐 anjbc
&~anjbl; anjbl
&~anjhp; anjhp
&~anjhu; anjhu
&~anjim; anjim
&~anjki; anjki
&~anjlu; anjlu
&~anjmu; anjmu
&~anjmz; anjmz
&~anjp; anjp
&~anjpi; anjpi
䦡 anjrr
&~anjv; anjv
閳 anjwj
&~ank; ank
&~ankb; ankb
&~anke; anke
㬠 ankf
閎 anki
&~ankit; ankit
&~ankk; ankk
閹 anklu
閹 anklv
&~ankmr; ankmr
&~ankn; ankn
&~ankqa; ankqa
&~ankr; ankr
&~anlgm; anlgm
閩 anli
&~anlii; anlii
&~anll; anll
&~anlls; anlls
闠 anlmc
関 anlo
&~anlp; anlp
&~anlpc; anlpc
&~anlsy; anlsy
&~anluo; anluo
&~anlwl; anlwl
閂 anm
&~anmbc; anmbc
&~anmbl; anmbl
闄 anmbv
閪 anmcw
䦜 anmdr
&~anmf; anmf
䦵 anmfb
閛 anmfj
&~anmfm; anmfm
&~anmfu; anmfu
閏 anmg
䦯 anmge
閠 anmgi
䦯 anmgk
&~anmhx; anmhx
&~anmig; anmig
閈 anmj
&~anmjh; anmjh
開 anmjj
闞 anmjk
&~anmk; anmk
&~anmkh; anmkh
&~anmkm; anmkm
䦠 anmko
&~anmlh; anmlh
&~anmm; anmm
閆 anmmm
䦎 anmmu
閅 anmn
閜 anmnr
&~anmob; anmob
䦒 anmr
&~anmrw; anmrw
&~anmso; anmso
開 anmt
&~anmth; anmth
闘 anmti
&~anmtj; anmtj
&~anmtz; anmtz
閕 anmvh
闉 anmwg
闄 anmwv
&~anmxk; anmxk
閸 anmxm
閇 anmy
&~anmzb; anmzb
&~anmzr; anmzr
&~anmzw; anmzw
&~annau; annau
&~annba; annba
&~annd; annd
&~anndf; anndf
閮 anneg
&~anneq; anneq
&~annf; annf
&~anng; anng
&~annhe; annhe
&~annib; annib
&~annin; annin
&~anniy; anniy
闞 annjk
&~annlr; annlr
&~annlv; annlv
&~annmu; annmu
闋 annok
&~annot; annot
&~annru; annru
䦛 annsd
&~annwf; annwf
䦰 annwu
閻 annx
&~annxu; annxu
䦲 annyr
閃 ano
&~anoam; anoam
&~anoar; anoar
&~anob; anob
&~anobn; anobn
&~anobv; anobv
閵 anog
&~anogf; anogf
&~anohf; anohf
閥 anoi
&~anoj; anoj
暌 anok
䦏 anoll
&~anomc; anomc
&~anomd; anomd
&~anomk; anomk
䦍 anon
閝 anoni
䦟 anoog
閦 anooo
&~anoos; anoos
&~anoq; anoq
閤 anor
&~anorb; anorb
闟 anors
&~anos; anos
閝 anosl
&~anotf; anotf
&~anouk; anouk
&~anoy; anoy
欥 ano1
閄 ano2
悶 anp
闐 anpbc
閟 anph
&~anpko; anpko
&~anptd; anptd
&~anpu; anpu
&~anp1; anp1
&~anp2; anp2
䦐 anq
闍 anqa
&~anqbd; anqbd
䦬 anqhk
闍 anqia
䦮 anqka
&~anqmn; anqmn
&~anqnd; anqnd
闚 anqou
&~anqoy; anqoy
&~anqp; anqp
問 anr
&~anrbc; anrbc
閭 anrhr
&~anrml; anrml
閭 anrr
闡 anrrj
闆 anrrr
&~anrsn; anrsn
&~anrua; anrua
&~anruc; anruc
&~anrup; anrup
&~anrut; anrut
&~anrvc; anrvc
&~anrwu; anrwu
&~anshr; anshr
閻 anshx
&~ansil; ansil
聞 ansj
&~ansk; ansk
&~anskr; anskr
&~ansmg; ansmg
闖 ansqf
闢 ansrl
&~anss; anss
&~anssh; anssh
&~ansuu; ansuu
閧 antc
&~antct; antct
闀 antcu
&~antgf; antgf
&~antgg; antgg
&~antgt; antgt
&~antif; antif
&~antkr; antkr
&~antlc; antlc
䦫 antlk
&~antm; antm
&~antmc; antmc
&~antmj; antmj
&~antor; antor
&~antqg; antqg
䦕 antt
&~antub; antub
闕 antuo
&~antwb; antwb
闦 antwt
閊 anu
闓 anumt
&~anus; anus
&~anuu; anuu
&~anv; anv
闗 anvf
&~anvff; anvff
關 anvt
䦳 anvvl
&~anw; anw
&~anwa; anwa
閫 anwd
&~anwf; anwf
&~anwff; anwff
&~anwg; anwg
閘 anwl
䦴 anwll
&~anwlo; anwlo
闤 anwlv
&~anwl1; anwl1
&~anwot; anwot
&~anwr; anwr
閰 anx
&~anxcq; anxcq
&~anxge; anxge
䦧 anxhu
&~anxme; anxme
&~anxt; anxt
&~anx1; anx1
&~anyco; anyco
&~anydi; anydi
&~anydl; anydl
&~anyfd; anyfd
&~anyg; anyg
闥 anygq
闧 anygv
閌 anyhn
&~anyhq; anyhq
閍 anyhs
&~anyiu; anyiu
&~anyiv; anyiv
&~anyi1; anyi1
閗 anyj
閔 anyk
&~anyl; anyl
閙 anylb
&~anylr; anylr
誾 anymr
&~anypn; anypn
&~anypu; anypu
䦓 anyr
&~anyrp; anyrp
曕 anyr1
閼 anysy
閚 anyt
闇 anyta
&~anytg; anytg
&~anytj; anytj
&~anyto; anyto
䦣 anytr
&~anyv; anyv
&~anyvi; anyvi
閡 anyvo
&~anyy; anyy
&~anz; anz
&~an1; an1
&~ao; ao
&~aoah; aoah
&~aobg; aobg
&~aobn; aobn
&~aobn1; aobn1
㫻 aobt
