umrt 豈
mlwk 更
jwj 車
mwbuc 賈
ebbb 滑
ll 串
pr 句
hxu 龜
nxu 龜
hxu 龜
nxu 龜
qhk 契
c 金
rdln 喇
kmmf 奈
pdlc 懶
kdlc 癩
wlvfg 羅
twlg 蘿
liwvf 螺
lwd 裸
ywlg 邏
vid 樂
eher 洛
fher 烙
mgher 珞
tehr 落
mwher 酪
sfher 駱
bbu 亂
hvsli 卵
danw 欄
fanw 爛
tanw 蘭
vfhz 鸞
uhni 嵐
esmt 濫
esit 濫
tsmt 藍
tsit 藍
lsmt 襤
lsit 襤
qyt 拉
bvvv 臘
livvv 蠟
iivl 廊
iiil 廊
ivb 朗
iib 朗
eiav 浪
khiav 狼
iavnl 郎
iainl 郎
doo 來
imosl 冷
imoni 冷
ffbks 勞
qyps 擄
dnwa 櫓
fypt 爐
ypwbt 盧
qp 老
typt 蘆
ypwks 虜
ypwjs 虜
rxher 路
mzrxr 露
nwfa 魯
rrhz 鷺
mrrme 碌
mfrme 祿
ifrme 祿
vfrme 綠
trme 菉
crme 錄
ixpp 鹿
yrobt 論
ypg 壟
mgt 弄
hybp 籠
ypsj 聾
jhq 牢
mrmrr 磊
bcher 賂
mzw 雷
wwwg 壘
slwv 屢
dlwv 樓
ehsk 淚
eisk 淚
esmb 漏
wvif 累
vflwv 縷
nlmbv 陋
tljks 勒
bks 肋
imywd 凜
imgce 凌
hdgce 稜
vfgce 綾
tgce 菱
nlgce 陵
yrgwc 讀
veq 拏
vid 樂
yrtkr 諾
by 丹
jpbn 寧
vep 怒
yioj 率
wtc 異
lmp 北
mrhfw 磻
omlk 便
hooae 復
mf 不
eph 泌
lwvok 數
jbvif 索
iiih 參
jtcg 塞
fhbu 省
tptd 葉
yrcru 說
kdhne 殺
mmmv 辰
elbu 沈
qor 拾
tkr 若
qyrf 掠
wher 略
ybhu 亮
ybhn 亮
mlbo 兩
imyrf 凉
ecd 梁
fdamg 糧
iav 良
mav 良
yryrf 諒
amwg 量
mtbks 勵
rhr 呂
rr 呂
v 女
iypt 廬
ysohv 旅
eypp 濾
mrmtb 礪
anrhr 閭
anrr 閭
sfmbp 驪
mbixp 麗
hhoe 黎
ks 力
mhda 曆
mhdx 歷
jjvid 轢
oq 年
pfdq 憐
vfp 戀
qbkf 撚
eyjj 漣
fdwf 煉
