# 𤝇 khnki 編碼可能有誤
######################
#𠃍在下，都取尸，補充一些
gis 𪢳
yjs 㪲
yms 㫇
yys 㫇
# 倒字，可以用「片」作末尾表示倒字。（ArtherMcarther 問過官方得知）
# 六代官方pdf中有𠄏𠄔𣥒等字的編碼，其他字依例補加，E區爲止
nnz   𠄏
vinnz 𢆴
nzz   𠄔
yzbuc 𧹂
yzbuu 𬢆
irzye 𣀨
oirz  𠐲
irmb  𧥑
irmf  𤒓
irmf  𤒉
irmz  𢨋
xzx   𣥒
# 按ArtherMcarther，引入Z鍵來編碼「反字」
# 反字如臦𦣩，加容錯
rzhpu 𨞰
rzrau 𨛜
rztcu 𨞠
rauz  𨙨
nnz   𫸪
szsll 臦
slslz 𦣩
# 按ArtherMcarther言“𫥮𫯆𬲈，共同所含的部件，官方回答作字身可取「戈人金」
# 「𬲈」按Unicode文档上方两横和「几」相交，我取「竹女」。”
# 網友原編有hn開頭，改正下，並加入hv開頭的，暫都作字首。
yuioc 𫥮
icgah 𫯆
hnioc 𬲈
hvioc 𬲈
#取oo的錯碼，官方pdf有取，這裡將錯就錯
#𥶫字都相同，不列入
oolu  睂
oounl 𨞅
oolv  𡡚
eoou  𣾨
hoou  𥴔
mgoou 𤩣
#第一種正確取法
olmbu 睂
olunl 𨞅
olmbv 𡡚
oml   𠓡
volu  𡡾
uolu  𡼴
eolu  𣾨
mgolu 𤩣
buolu 𥋎
holu  𥴔
#ombu 睂，第二種正確取法
vomu  𡡾
uomu  𡼴
buomu 𥋎
homu  𥴔
# 𦦊字按官方pdf，取xm開頭，依之改幾個字
xmwks 𦦊
hjxm  𦥫
hsxm  𦥢
nxm   𦥢
tuxm  𦥾
ojvx  𦦓
# 按官方pdf，𠃚字取sss，𠃬取ssss，𧦮字取yrsse，𢎧字取ssn。
# 其他字，查改一些。𧅍𧂘，網友取jr開頭，也改正下，另加trr開頭的。
esss  𣵬
hosse 𤓷
ifssm 𥙥
ifsss 𥙸
jrssk 𧅍
jrssk 𧂘
jsjrk 𧅍
jsjrk 𧂘
mfssm 𥙥
mfsss 𥙸
rrssk 𤕦
rrssk 𡄉
sshne 𣪐
ssn   𢎧
sss   𠃚
ssse  𡕪
ssse  𠭵
ssss  𠃬
trrk  𧅍
trrk  𧂘
tssk  𦷠
yrsse 𧦮
# 六代十鍵中的字根，如“𪧇-丆”或“𪧇+（夢-冖夕）”，都取一碼：十
jbsb  㝲
jbhd  𡬒
jbfd  𡬍
jbse  𡬓
jbe   𡫺
jbe   𡬄 
jbff  𡬖
jbmf  𡬇
jbhk  𡬊
jbni  㝱
jbbn  𡬙
jbmr  𡬑
jbbu  𡬌
jbv   𡫽
jmbi  𫳻
jmmw  𫳼
jmqx  𫴛
#############################################
#其他漢字區
#############################################
#碼表錯作鶥
ahumz 眉頁
#有的字體沒有點
aje   𭥢
alo   𬀲
# 𠘀字官方pdf取alrm，另有網友編airy，加一個alry。
alry  𠘀
ambg  𪱑
# 參見㤲字，及麥字取kohe，十人可能取作大字根了，作字首。
bkoh  𦟬
blu   𦉭
# 查無出處，按三代猜測的編法
blxk  𦥼
# 官方PDF有這個取法
bmll  𠕲
bumlc 𥄙
bx    𠕄
cmso  㒸
cwa   曾
ds    𣎺
ds    𠀟
