# 779個在老碼表中有，但在雪齋表中無
cwa 曾
gwj 毐
hnmn 夙
hybt 盘
i 、
iiso 辶
mn 歹
mnln 列
mrmn 哥
opy 铲
seooo 聚
sk 刃
su 已
xupr 龅
xxr 〇
za ‘
za ’
za “
za ”
za 〈
za 〉
za 《
za 》
za 「
za 」
za 『
za 』
za 【
za 】
za 〔
za 〕
za 〖
za 〗
za ■
za □
za ▲
za △
za ◆
za ◇
za ○
za ◎
za ●
za ↑
za →
za ↓
za ←
za …
za 〓
za ☆
za ★
za ※
za №
zb ⅰ
zb ⅱ
zb ⅲ
zb ⅳ
zb ⅴ
zb ⅵ
zb ⅶ
zb ⅷ
zb ⅸ
zb ⅹ
zba ⒈
zba ⒉
zba ⒊
zba ⒋
zba ⒌
zba ⒍
zba ⒎
zba ⒏
zba ⒐
zba ⒑
zba ⒒
zba ⒓
zba ⒔
zba ⒕
zba ⒖
zba ⒗
zba ⒘
zba ⒙
zba ⒚
zba ⒛
zbb ⑴
zbb ⑵
zbb ⑶
zbb ⑷
zbb ⑸
zbb ⑹
zbb ⑺
zbb ⑻
zbb ⑼
zbb ⑽
zbb ⑾
zbb ⑿
zbb ⒀
zbb ⒁
zbb ⒂
zbb ⒃
zbb ⒄
zbb ⒅
zbb ⒆
zbb ⒇
zbc ①
zbc ②
zbc ③
zbc ④
zbc ⑤
zbc ⑥
zbc ⑦
zbc ⑧
zbc ⑨
zbc ⑩
zbd ㈠
zbd ㈡
zbd ㈢
zbd ㈣
zbd ㈤
zbd ㈥
zbd ㈦
zbd ㈧
zbd ㈨
zbd ㈩
zbe Ⅰ
zbe Ⅱ
zbe Ⅲ
zbe Ⅳ
zbe Ⅴ
zbe Ⅵ
zbe Ⅶ
zbe Ⅷ
zbe Ⅸ
zbe Ⅹ
zbe Ⅺ
zbe Ⅻ
zc ぁ
zc あ
zc ぃ
zc い
zc ぅ
zc う
zc ぇ
zc え
zc ぉ
zc お
zc か
zc が
zc き
zc ぎ
zc く
zc ぐ
zc け
zc げ
zc こ
zc ご
zc さ
zc ざ
zc し
zc じ
zc す
zc ず
zc せ
zc ぜ
zc そ
zc ぞ
zc た
zc だ
zc ち
zc ぢ
zc っ
zc つ
zc づ
zc て
zc で
zc と
zc ど
zc な
zc に
zc ぬ
zc ね
zc の
zc は
zc ば
zc ぱ
zc ひ
zc び
zc ぴ
zc ふ
zc ぶ
zc ぷ
zc へ
zc べ
zc ぺ
zc ほ
zc ぼ
zc ぽ
zc ま
zc み
zc む
zc め
zc も
zc ゃ
zc や
zc ゅ
zc ゆ
zc ょ
zc よ
zc ら
zc り
zc る
zc れ
zc ろ
zc ゎ
zc わ
zc ゐ
zc ゑ
zc を
zc ん
zd ァ
zd ア
zd ィ
zd イ
zd ゥ
zd ウ
zd ヴ
zd ェ
zd エ
zd ォ
zd オ
zd ヵ
zd カ
zd ガ
zd キ
zd ギ
zd ク
zd グ
zd ヶ
zd ケ
zd ゲ
zd コ
zd ゴ
zd サ
zd ザ
zd シ
zd ジ
zd ス
zd ズ
zd セ
zd ゼ
zd ソ
zd ゾ
zd タ
zd ダ
zd チ
zd ヂ
zd ッ
zd ツ
zd ヅ
zd テ
zd デ
zd ト
zd ド
zd ナ
zd ニ
zd ヌ
zd ネ
zd ノ
zd ハ
zd バ
zd パ
zd ヒ
zd ビ
zd ピ
zd フ
zd ブ
zd プ
zd ヘ
zd ベ
zd ペ
zd ホ
zd ボ
zd ポ
zd マ
zd ミ
zd ム
zd メ
zd モ
zd ャ
zd ヤ
zd ュ
zd ユ
zd ョ
zd ヨ
zd ラ
zd リ
zd ル
zd レ
zd ロ
zd ヮ
zd ワ
zd ヰ
zd ヱ
zd ヲ
zd ン
zf ︱
zf ︵
zf ︶
zf ︷
zf ︸
zf ︳
zf ︴
zf ︿
zf ﹀
zf ︽
zf ︾
zf ﹁
zf ﹂
zf ﹃
zf ﹄
zf ︻
zf ︼
zf ︹
zf ︺
zf Α
zf α
zf Β
zf β
zf Γ
zf γ
zf Δ
zf δ
zf Ε
zf ε
zf Ζ
zf ζ
zf Η
zf η
zf Θ
zf θ
zf Ι
zf ι
zf Κ
zf κ
zf Λ
zf λ
zf Μ
zf μ
zf Ν
zf ν
zf Ξ
zf ξ
zf Ο
zf ο
zf Π
zf π
zf Ρ
zf ρ
zf Σ
zf σ
zf Τ
zf τ
zf Υ
zf υ
zf Φ
zf φ
zf Χ
zf χ
zf Ψ
zf ψ
zf Ω
zf ω
zf 
zg А
zg а
zg Б
zg б
zg В
zg в
zg Г
zg г
zg Д
zg д
zg Е
zg е
zg Ё
zg ё
zg Ж
zg ж
zg З
zg з
zg И
zg и
zg Й
zg й
zg К
zg к
zg Л
zg л
zg М
zg м
zg Н
zg н
zg О
zg о
zg П
zg п
zg Р
zg р
zg С
zg с
zg Т
zg т
zg У
zg у
zg Ф
zg ф
zg Х
zg х
zg Ц
zg ц
zg Ч
zg ч
zg Ш
zg ш
zg Щ
zg щ
zg Ъ
zg ъ
zg Ы
zg ы
zg Ь
zg ь
zg Э
zg э
zg Ю
zg ю
zg Я
zg я
zxaa 　
zxab ，
zxac 、
zxad 。
zxae ．
zxaf ·
zxag ；
zxah ：
zxai ？
zxaj ！
zxak ︰
zxal …
zxam ‥
zxan ﹐
zxao ﹑
zxap ﹒
zxaq ·
zxar ﹔
zxas ﹕
zxat ﹖
zxau ﹗
zxav ｜
zxaw –
zxax ︱
zxay —
zxba ︳
zxbb ﹏
zxbc ︴
zxbd ﹏
zxbe （
zxbf ）
zxbg ︵
zxbh ︶
zxbi ｛
zxbj ｝
zxbk ︷
zxbl ︸
zxbm 〔
zxbn 〕
zxbo ︹
zxbp ︺
zxbq 【
zxbr 】
zxbs ︻
zxbt ︼
zxbu 《
zxbv 》
zxbw ︽
zxbx ︾
zxby 〈
zxca 〉
zxcb ︿
zxcc ﹀
zxcd 「
zxce 」
zxcf ﹁
zxcg ﹂
zxch 『
zxci 』
zxcj ﹃
zxck ﹄
zxcl ﹙
zxcm ﹚
zxcn ﹛
zxco ﹜
zxcp ﹝
zxcq ﹞
zxcr ‘
zxcs ’
zxct “
zxcu ”
zxcv 〝
zxcw 〞
zxcx ‵
zxcy ′
zzaa 「
zzab 」
zzac 『
zzad 』
zzae 〈
zzaf 〉
zzag 《
zzah 》
zzai （
zzaj ）
zzak 〖
zzal 〗
zzam 【
zzan 】
zzao 〔
zzap 〕
zzaq ｛
zzar ｝
zzas →
zzat ←
zzau ↓
zzav ↗
zzaw ↘
zzax ↖
zzay ↙
zzba △
